Car,Model,Volume,Weight,CO2,Price
Toyota,Aygo,1000,790,99,12000
Mitsubishi,Space Star,1200,1160,95,13500
Skoda,Citigo,1000,929,95,12500
Fiat,500,900,865,90,14000
Mini,Cooper,1500,1140,105,22000
VW,Up!,1000,929,105,13000
Skoda,Fabia,1400,1109,90,15000
Mercedes,A-Class,1500,1365,92,30000
Ford,Fiesta,1500,1112,98,16000
Audi,A1,1600,1150,99,25000
Hyundai,I20,1100,980,99,14000
Suzuki,Swift,1300,990,101,14500
Ford,Fiesta,1000,1112,99,15000
Honda,Civic,1600,1252,94,20000
Hyundai,I30,1600,1326,97,21000
Opel,Astra,1600,1330,97,21000
BMW,1,1600,1365,99,28000
Mazda,3,2200,1280,104,24000
Skoda,Rapid,1600,1119,104,18000
Ford,Focus,2000,1328,105,22000
Ford,Mondeo,1600,1584,94,23000
Opel,Insignia,2000,1428,99,25000
Mercedes,C-Class,2100,1365,99,40000
Skoda,Octavia,1600,1415,99,22000
Volvo,S60,2000,1415,99,35000
Mercedes,CLA,1500,1465,102,37000
Audi,A4,2000,1490,104,42000
Audi,A6,2000,1725,114,55000
Volvo,V70,1600,1523,109,36000
BMW,5,2000,1705,114,60000
Mercedes,E-Class,2100,1605,115,65000
Volvo,XC70,2000,1746,117,50000
Ford,B-Max,1600,1235,104,19000
BMW,216,1600,1390,108,30000
Opel,Zafira,1600,1405,109,23000
Mercedes,SLK,2500,1395,120,70000
